ZIP Code Year,over Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
95601,0.0%,4 0,0.0%,-,0.0%,-,0.0%,-,-
95629,17.4%,2 09,14.8%,1 78,5.4%,1 55,47.0%,1 47,1 00
95640,146.8%,2 69,78.7%,1 09,64.9%,6 1,76.2%,3 7,2 1
95642,34.3%,5 40,45.1%,4 02,43.5%,2 77,65.0%,1 93,1 17
95665,6.4%,"1 ,041",10.9%,9 78,5.6%,8 82,16.8%,8 35,7 15
95666,3.5%,"2 ,041",11.0%,"1 ,972",6.7%,"1 ,777",17.3%,"1 ,665","1 ,419"
95669,31.8%,2 82,49.7%,2 14,16.3%,1 43,39.8%,1 23,8 8
95685,19.6%,5 36,22.4%,4 48,20.0%,3 66,22.0%,3 05,2 50
95689,12.5%,3 68,15.5%,3 27,3.3%,2 83,17.1%,2 74,2 34
95699,0.0%,1 9,0.0%,-,0.0%,-,0.0%,-,-
95914,14.3%,7 2,50.0%,6 3,55.6%,4 2,107.7%,2 7,1 3
95916,15.8%,1 10,37.7%,9 5,-15.9%,6 9,-53.7%,8 2,1 77
95917,100.0%,4,100.0%,2,0.0%,1,0.0%,1,-
95926,540.0%,3 2,66.7%,5,0.0%,3,200.0%,3,1
95928,69.6%,1 95,82.5%,1 15,1.6%,6 3,14.8%,6 2,5 4
95930,0.0%,9 9,0.0%,-,0.0%,-,0.0%,-,-
95938,-20.0%,4,25.0%,5,-20.0%,4,25.0%,5,4
95941,2.8%,7 4,4.3%,7 2,3.0%,6 9,19.6%,6 7,5 6
95942,12.7%,4 54,17.5%,4 03,9.6%,3 43,17.7%,3 13,2 66
95948,50.0%,9,100.0%,6,0.0%,3,50.0%,3,2
95954,12.8%,"1 ,939",55.0%,"1 ,719",12.7%,"1 ,109",28.5%,9 84,7 66
95965,59.4%,5 07,53.6%,3 18,5.6%,2 07,78.2%,1 96,1 10
95966,38.4%,"2 ,546",57.5%,"1 ,840",8.3%,"1 ,168",14.8%,"1 ,078",9 39
95968,145.5%,2 7,83.3%,1 1,100.0%,6,50.0%,3,2
95969,74.8%,"1 ,715",127.1%,9 81,61.8%,4 32,111.9%,2 67,1 26
95973,84.4%,2 25,29.8%,1 22,10.6%,9 4,18.1%,8 5,7 2
95222,35.1%,5 39,49.4%,3 99,20.3%,2 67,16.8%,2 22,1 90
95223,2.2%,"4 ,326",12.3%,"4 ,233",9.6%,"3 ,769",18.9%,"3 ,440","2 ,893"
95225,0.0%,4 2,0.0%,-,0.0%,-,0.0%,-,-
95226,0.0%,1 6,0.0%,-,0.0%,-,0.0%,-,-
95228,36.3%,7 59,70.9%,5 57,37.6%,3 26,55.9%,2 37,1 52
95232,4.1%,5 1,25.6%,4 9,56.0%,3 9,8.7%,2 5,2 3
95245,7.4%,3 64,25.6%,3 39,25.0%,2 70,21.3%,2 16,1 78
95246,11.8%,3 13,25.0%,2 80,26.6%,2 24,30.1%,1 77,1 36
95247,12.1%,"1 ,195",27.2%,"1 ,066",12.5%,8 38,25.8%,7 45,5 92
95249,32.0%,3 67,55.3%,2 78,28.8%,1 79,46.3%,1 39,9 5
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 3,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
95251,10.3%,1 50,20.4%,1 36,4.6%,1 13,52.1%,1 08,7 1
95252,29.4%,6 20,50.6%,4 79,80.7%,3 18,40.8%,1 76,1 25
95254,0.0%,2 3,0.0%,-,0.0%,-,0.0%,-,-
95255,9.8%,4 14,7.1%,3 77,-3.0%,3 52,19.4%,3 63,3 04
95257,0.0%,1 57,0.0%,1 57,13.8%,1 57,24.3%,1 38,1 11
95912,-66.7%,2,50.0%,6,100.0%,4,0.0%,2,-
95932,100.0%,1 0,0.0%,5,400.0%,5,-50.0%,1,2
95955,-100.0%,-,0.0%,1,0.0%,1,0.0%,1,1
95970,0.0%,3,0.0%,3,0.0%,3,200.0%,3,1
95979,61.1%,2 9,63.6%,1 8,175.0%,1 1,-33.3%,4,6
95987,-25.0%,3,33.3%,4,200.0%,3,0.0%,1,1
94505,425.0%,2 1,33.3%,4,50.0%,3,0.0%,2,2
94506,322.6%,5 79,158.5%,1 37,32.5%,5 3,-2.4%,4 0,4 1
94507,277.3%,4 15,86.4%,1 10,51.3%,5 9,50.0%,3 9,2 6
94509,160.0%,7 8,-6.3%,3 0,-13.5%,3 2,5.7%,3 7,3 5
94511,27.6%,3 7,11.5%,2 9,0.0%,2 6,0.0%,-,-
94513,150.0%,8 0,52.4%,3 2,23.5%,2 1,-37.0%,1 7,2 7
94514,100.0%,6,-25.0%,3,0.0%,4,0.0%,4,4
94517,187.3%,1 58,77.4%,5 5,342.9%,3 1,16.7%,7,6
94518,133.3%,2 8,33.3%,1 2,28.6%,9,0.0%,7,7
94519,83.3%,1 1,-14.3%,6,0.0%,7,0.0%,7,7
94520,257.1%,2 5,75.0%,7,-20.0%,4,0.0%,5,5
94521,229.4%,5 6,240.0%,1 7,-16.7%,5,20.0%,6,5
94523,363.2%,8 8,90.0%,1 9,-9.1%,1 0,-8.3%,1 1,1 2
94525,200.0%,4 8,100.0%,1 6,-33.3%,8,33.3%,1 2,9
94526,467.9%,3 01,82.8%,5 3,93.3%,2 9,25.0%,1 5,1 2
94528,300.0%,5 2,85.7%,1 3,75.0%,7,33.3%,4,3
94530,322.4%,2 07,63.3%,4 9,11.1%,3 0,42.1%,2 7,1 9
94531,450.0%,5 5,100.0%,1 0,-16.7%,5,-25.0%,6,8
94547,550.0%,5 2,166.7%,8,50.0%,3,0.0%,2,2
94549,265.0%,9 27,76.4%,2 54,26.3%,1 44,93.2%,1 14,5 9
94553,265.0%,2 92,81.8%,8 0,4.8%,4 4,5.0%,4 2,4 0
94556,456.9%,2 84,112.5%,5 1,14.3%,2 4,50.0%,2 1,1 4
94561,17.1%,4 8,0.0%,4 1,-31.7%,4 1,0.0%,6 0,6 0
94563,250.3%,"1 ,191",46.6%,3 40,47.8%,2 32,63.5%,1 57,9 6
94564,366.7%,7 0,275.0%,1 5,-20.0%,4,-16.7%,5,6
94565,145.1%,1 25,18.6%,5 1,-30.6%,4 3,-3.1%,6 2,6 4
94569,57.1%,1 1,250.0%,7,100.0%,2,-50.0%,1,2
94572,66.7%,1 5,12.5%,9,-27.3%,8,0.0%,1 1,1 1
94582,309.1%,4 5,0.0%,1 1,-100.0%,-,-50.0%,1,2
94583,184.4%,1 82,82.9%,6 4,25.0%,3 5,115.4%,2 8,1 3
94595,212.2%,1 28,64.0%,4 1,19.0%,2 5,133.3%,2 1,9
94596,400.0%,5 0,11.1%,1 0,-10.0%,9,11.1%,1 0,9
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 4,of 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
94597,245.0%,6 9,53.8%,2 0,18.2%,1 3,0.0%,1 1,1 1
94598,119.0%,4 6,133.3%,2 1,-25.0%,9,-14.3%,1 2,1 4
94801,40.0%,9 8,2.9%,7 0,-15.0%,6 8,5.3%,8 0,7 6
94803,217.9%,2 48,62.5%,7 8,37.1%,4 8,6.1%,3 5,3 3
94804,87.0%,1 01,17.4%,5 4,-16.4%,4 6,7.8%,5 5,5 1
94805,122.0%,9 1,78.3%,4 1,-8.0%,2 3,31.6%,2 5,1 9
94806,72.1%,1 05,3.4%,6 1,1.7%,5 9,-9.4%,5 8,6 4
95531,148.3%,2 16,74.0%,8 7,61.3%,5 0,40.9%,3 1,2 2
95543,-3.2%,9 1,10.6%,9 4,2.4%,8 5,144.1%,8 3,3 4
95548,50.0%,2 1,40.0%,1 4,66.7%,1 0,100.0%,6,3
95567,15.4%,1 5,333.3%,1 3,-25.0%,3,100.0%,4,2
95614,32.8%,6 23,8.3%,4 69,12.2%,4 33,47.3%,3 86,2 62
95619,69.1%,5 09,87.0%,3 01,26.8%,1 61,41.1%,1 27,9 0
95623,34.8%,6 04,51.9%,4 48,9.7%,2 95,52.0%,2 69,1 77
95633,24.6%,7 45,5.1%,5 98,8.6%,5 69,13.9%,5 24,4 60
95634,25.2%,6 85,5.6%,5 47,10.7%,5 18,17.3%,4 68,3 99
95635,13.8%,2 72,3.0%,2 39,13.2%,2 32,15.8%,2 05,1 77
95636,36.7%,1 34,-6.7%,9 8,-40.7%,1 05,38.3%,1 77,1 28
95651,27.0%,1 13,39.1%,8 9,1.6%,6 4,26.0%,6 3,5 0
95664,11.8%,2 85,15.9%,2 55,-1.3%,2 20,51.7%,2 23,1 47
95667,30.8%,"6 ,395",11.2%,"4 ,890",8.0%,"4 ,398",13.6%,"4 ,073","3 ,586"
95672,27.0%,5 78,28.5%,4 55,13.1%,3 54,76.8%,3 13,1 77
95682,54.3%,"2 ,100",65.2%,"1 ,361",14.8%,8 24,58.1%,7 18,4 54
95684,11.2%,7 37,20.3%,6 63,-0.2%,5 51,26.9%,5 52,4 35
95709,13.9%,9 35,7.2%,8 21,4.5%,7 66,57.6%,7 33,4 65
95720,-3.9%,1 46,8.6%,1 52,-3.4%,1 40,13.3%,1 45,1 28
95721,0.0%,5 7,1.8%,5 7,-20.0%,5 6,42.9%,7 0,4 9
95726,8.8%,"2 ,458",4.7%,"2 ,260",6.1%,"2 ,159",13.0%,"2 ,035","1 ,801"
95735,13.0%,1 13,20.5%,1 00,-27.8%,8 3,43.8%,1 15,8 0
95762,104.9%,9 12,54.5%,4 45,21.5%,2 88,48.1%,2 37,1 60
96142,36.1%,6 86,81.9%,5 04,42.8%,2 77,55.2%,1 94,1 25
96150,20.7%,"4 ,385",32.1%,"3 ,633",17.3%,"2 ,750",43.5%,"2 ,344","1 ,633"
93210,7.7%,2 8,30.0%,2 6,17.6%,2 0,-15.0%,1 7,2 0
93234,-50.0%,1,0.0%,2,-50.0%,2,0.0%,4,4
93242,100.0%,2,0.0%,1,-100.0%,-,0.0%,1,1
93602,4.4%,5 19,3.8%,4 97,4.8%,4 79,-3.4%,4 57,4 73
93606,0.0%,1,0.0%,-,0.0%,-,0.0%,-,-
93608,-66.7%,1,50.0%,3,100.0%,2,-50.0%,1,2
93609,50.0%,9,0.0%,6,20.0%,6,25.0%,5,4
93611,225.0%,1 3,33.3%,4,-25.0%,3,0.0%,4,4
93612,320.0%,2 1,0.0%,5,66.7%,5,50.0%,3,2
93616,200.0%,3,-50.0%,1,0.0%,2,0.0%,-,-
93619,51.8%,2 96,74.1%,1 95,69.7%,1 12,32.0%,6 6,5 0
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 5 o,f 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
93621,15.8%,2 2,35.7%,1 9,7.7%,1 4,30.0%,1 3,1 0
93622,281.8%,4 2,57.1%,1 1,-12.5%,7,0.0%,8,8
93624,0.0%,2,0.0%,-,0.0%,-,0.0%,-,-
93625,500.0%,6,-83.3%,1,200.0%,6,100.0%,2,1
93626,86.0%,1 60,22.9%,8 6,45.8%,7 0,20.0%,4 8,4 0
93627,0.0%,-,0.0%,-,0.0%,-,0.0%,-,-
93628,12.1%,1 11,37.5%,9 9,24.1%,7 2,18.4%,5 8,4 9
93630,42.9%,2 0,16.7%,1 4,50.0%,1 2,166.7%,8,3
93631,0.0%,6,20.0%,6,-16.7%,5,50.0%,6,4
93633,13.2%,7 7,11.5%,6 8,17.3%,6 1,23.8%,5 2,4 2
93634,13.9%,1 31,-4.2%,1 15,0.0%,1 20,0.0%,-,-
93640,536.4%,7 0,37.5%,1 1,-33.3%,8,100.0%,1 2,6
93641,-12.5%,5 6,18.5%,6 4,14.9%,5 4,42.4%,4 7,3 3
93646,7.7%,1 4,-18.8%,1 3,23.1%,1 6,-7.1%,1 3,1 4
93648,0.0%,3,0.0%,-,0.0%,-,-100.0%,-,1
93650,600.0%,2 1,-25.0%,3,33.3%,4,-50.0%,3,6
93651,24.2%,1 49,50.0%,1 20,0.0%,8 0,31.1%,8 0,6 1
93652,0.0%,-,-100.0%,-,0.0%,1,0.0%,1,1
93654,128.6%,3 2,0.0%,1 4,133.3%,1 4,-25.0%,6,8
93656,100.0%,4,100.0%,2,-50.0%,1,100.0%,2,1
93657,52.1%,7 3,37.1%,4 8,29.6%,3 5,22.7%,2 7,2 2
93660,40.0%,7,400.0%,5,0.0%,1,0.0%,1,1
93662,250.0%,2 8,-27.3%,8,450.0%,1 1,0.0%,2,2
93664,3.4%,"1 ,352",4.1%,"1 ,308",-4.8%,"1 ,257",17.2%,"1 ,321","1 ,127"
93667,1.9%,2 64,30.8%,2 59,23.8%,1 98,35.6%,1 60,1 18
93668,200.0%,3,0.0%,1,0.0%,1,0.0%,1,1
93675,34.0%,3 43,59.0%,2 56,151.6%,1 61,68.4%,6 4,3 8
93701,33.3%,2 8,-16.0%,2 1,31.6%,2 5,-5.0%,1 9,2 0
93702,50.0%,1 05,-23.1%,7 0,28.2%,9 1,-10.1%,7 1,7 9
93703,118.8%,3 5,-27.3%,1 6,57.1%,2 2,-26.3%,1 4,1 9
93704,64.3%,2 3,-6.7%,1 4,7.1%,1 5,-12.5%,1 4,1 6
93705,200.0%,3 0,0.0%,1 0,11.1%,1 0,-18.2%,9,1 1
93706,50.8%,9 8,-4.4%,6 5,21.4%,6 8,-11.1%,5 6,6 3
93710,120.0%,1 1,66.7%,5,0.0%,3,-25.0%,3,4
93711,63.6%,1 8,22.2%,1 1,28.6%,9,16.7%,7,6
93720,1900.0%,2 0,0.0%,1,-75.0%,1,-20.0%,4,5
93721,16.7%,7,-14.3%,6,40.0%,7,0.0%,5,5
93722,100.0%,5 2,23.8%,2 6,5.0%,2 1,-23.1%,2 0,2 6
93723,0.0%,1 0,11.1%,1 0,-18.2%,9,-8.3%,1 1,1 2
93725,21.6%,4 5,23.3%,3 7,15.4%,3 0,8.3%,2 6,2 4
93726,700.0%,2 4,-40.0%,3,0.0%,5,-50.0%,5,1 0
93727,163.2%,5 0,18.8%,1 9,6.7%,1 6,0.0%,1 5,1 5
93728,64.3%,4 6,-20.0%,2 8,16.7%,3 5,-9.1%,3 0,3 3
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 6 o,f 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
93730,700.0%,8,-50.0%,1,0.0%,2,0.0%,2,2
93737,250.0%,7,0.0%,2,-33.3%,2,200.0%,3,1
95920,-100.0%,-,0.0%,1,0.0%,-,0.0%,-,-
95939,44.4%,1 3,-25.0%,9,500.0%,1 2,-33.3%,2,3
95951,300.0%,4,0.0%,1,0.0%,-,0.0%,-,-
95963,118.2%,2 4,22.2%,1 1,28.6%,9,-12.5%,7,8
95988,50.0%,6,100.0%,4,0.0%,2,-50.0%,2,4
95501,177.8%,5 0,157.1%,1 8,-22.2%,7,12.5%,9,8
95503,115.7%,1 92,89.4%,8 9,88.0%,4 7,38.9%,2 5,1 8
95511,-8.3%,1 1,-29.4%,1 2,13.3%,1 7,36.4%,1 5,1 1
95514,-22.2%,1 4,-5.3%,1 8,137.5%,1 9,-11.1%,8,9
95519,118.9%,1 62,155.2%,7 4,45.0%,2 9,66.7%,2 0,1 2
95521,98.5%,1 35,54.5%,6 8,18.9%,4 4,68.2%,3 7,2 2
95524,171.4%,3 8,75.0%,1 4,100.0%,8,33.3%,4,3
95525,41.4%,4 1,16.0%,2 9,13.6%,2 5,-4.3%,2 2,2 3
95528,60.7%,4 5,16.7%,2 8,60.0%,2 4,36.4%,1 5,1 1
95536,56.3%,2 5,0.0%,1 6,23.1%,1 6,62.5%,1 3,8
95540,115.0%,8 6,73.9%,4 0,9.5%,2 3,90.9%,2 1,1 1
95542,-7.6%,2 19,16.2%,2 37,-2.4%,2 04,16.1%,2 09,1 80
95546,8.3%,2 6,50.0%,2 4,100.0%,1 6,60.0%,8,5
95547,800.0%,9,-50.0%,1,100.0%,2,0.0%,1,-
95549,48.5%,4 9,22.2%,3 3,68.8%,2 7,33.3%,1 6,1 2
95550,0.0%,2 7,8.0%,2 7,31.6%,2 5,-5.0%,1 9,2 0
95551,50.0%,1 2,100.0%,8,33.3%,4,0.0%,3,-
95554,8.8%,1 24,17.5%,1 14,-1.0%,9 7,28.9%,9 8,7 6
95555,62.5%,1 3,-11.1%,8,125.0%,9,0.0%,4,4
95556,-19.6%,3 7,17.9%,4 6,34.5%,3 9,3.6%,2 9,2 8
95558,2.9%,3 6,12.9%,3 5,10.7%,3 1,33.3%,2 8,2 1
95560,0.9%,1 12,9.9%,1 11,21.7%,1 01,50.9%,8 3,5 5
95562,260.0%,3 6,100.0%,1 0,66.7%,5,0.0%,3,3
95564,100.0%,4,0.0%,2,0.0%,-,0.0%,-,-
95565,90.9%,2 1,120.0%,1 1,400.0%,5,0.0%,1,1
95569,-11.1%,1 6,28.6%,1 8,55.6%,1 4,12.5%,9,8
95570,73.6%,9 2,130.4%,5 3,64.3%,2 3,55.6%,1 4,9
95573,35.4%,2 18,27.8%,1 61,16.7%,1 26,44.0%,1 08,7 5
95589,38.0%,1 38,38.9%,1 00,-8.9%,7 2,23.4%,7 9,6 4
92227,200.0%,8 1,17.4%,2 7,-8.0%,2 3,4.2%,2 5,2 4
92231,38.5%,1 26,4.6%,9 1,-4.4%,8 7,-14.2%,9 1,1 06
92233,50.0%,6,0.0%,4,100.0%,4,-33.3%,2,3
92243,44.3%,1 27,2.3%,8 8,3.6%,8 6,0.0%,8 3,8 3
92249,50.0%,9,100.0%,6,-40.0%,3,0.0%,5,5
92250,75.0%,1 4,60.0%,8,-28.6%,5,40.0%,7,5
92251,93.3%,2 9,7.1%,1 5,-17.6%,1 4,6.3%,1 7,1 6
,,,,,,,,,
Notes:,,,,,,,,,
1) All figures as of 09,/30/2024. Totals by report may,vary based on data,source.,,,,,,
olicy Growth by Fisc,al Year (Residential Line),,,Page 7 o,f 39,,,,
Data by ZIP Code,,,,,,,,,
,,,,,,,,,
,9/30/2024,,9/30/2023,,9/30/2022,,9/30/2021,9/30/2020,
ZIP Code Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Year ov,er Year Growth Number of P,olicies Number of Pol,icies
Total,40.3%,"449,832",20.6% 3,"20,572",12.4% 2,"65,909",15.4% 2,"36,515 2","04,868"
92257,75.0%,1 4,166.7%,8,0.0%,3,-25.0%,3,4
92259,0.0%,1,-50.0%,1,0.0%,2,0.0%,2,2
92266,0.0%,2,0.0%,-,0.0%,-,0.0%,-,-
92273,0.0%,1 1,0.0%,-,0.0%,-,0.0%,-,-
92275,0.0%,3,0.0%,-,0.0%,-,0.0%,-,-
92281,25.0%,5,33.3%,4,0.0%,3,0.0%,3,3
92283,-33.3%,2,50.0%,3,0.0%,2,-33.3%,2,3
92389,0.0%,1,0.0%,-,0.0%,-,0.0%,-,-
93513,112.5%,1 7,300.0%,8,-33.3%,2,-25.0%,3,4
93514,165.3%,1 30,63.3%,4 9,42.9%,3 0,10.5%,2 1,1 9
93526,50.0%,6,0.0%,4,0.0%,4,100.0%,4,2
93545,50.0%,2 4,6.7%,1 6,7.1%,1 5,55.6%,1 4,9
93549,0.0%,3,0.0%,-,0.0%,-,0.0%,-,-
93203,126.7%,6 8,25.0%,3 0,9.1%,2 4,0.0%,2 2,2 2
93205,13.3%,3 49,26.2%,3 08,10.4%,2 44,38.1%,2 21,1 60
93206,116.7%,1 3,0.0%,6,100.0%,6,-50.0%,3,6
93215,34.2%,5 1,40.7%,3 8,-18.2%,2 7,22.2%,3 3,2 7
93222,12.7%,8 35,6.5%,7 41,4.2%,6 96,14.6%,6 68,5 83
93224,0.0%,2,0.0%,2,0.0%,-,0.0%,-,-
93225,42.1%,6 99,21.5%,4 92,31.1%,4 05,25.6%,3 09,2 46
93226,16.0%,2 9,25.0%,2 5,-9.1%,2 0,22.2%,2 2,1 8
93238,78.0%,2 19,50.0%,1 23,26.2%,8 2,44.4%,6 5,4 5
93240,146.4%,6 21,70.3%,2 52,26.5%,1 48,62.5%,1 17,7 2
93241,33.3%,2 4,-5.3%,1 8,5.6%,1 9,-10.0%,1 8,2 0
93243,35.7%,1 56,35.3%,1 15,32.8%,8 5,16.4%,6 4,5 5
93249,100.0%,6,200.0%,3,-66.7%,1,200.0%,3,1
93250,266.7%,2 2,-14.3%,6,75.0%,7,-20.0%,4,5
93252,-28.1%,2 3,23.1%,3 2,18.2%,2 6,29.4%,2 2,1 7
93255,50.0%,1 5,11.1%,1 0,0.0%,9,200.0%,9,3
93263,42.9%,2 0,27.3%,1 4,-8.3%,1 1,33.3%,1 2,9
93268,125.0%,8 1,5.9%,3 6,-2.9%,3 4,-16.7%,3 5,4 2
